soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
11-3051.00,Business,Management occupations,Operations specialties managers,Management,1,Industrial production managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",170.6,170.3,-0.3,-0.2,1.4,11.7,97140,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3051.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Industrial production managers',","'Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.',","'170.6',","'170.3',","'-0.3',","'-0.2',","'1.4',","'11.7',","'97140',","'Bachelor''s degree',","'5 years or more',",'None');
11-3061.00,Business,Management occupations,Operations specialties managers,Management,1,Purchasing managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",73.9,78,4.1,5.6,1.3,6.3,111590,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3061.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Purchasing managers',","'Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.',","'73.9',","'78',","'4.1',","'5.6',","'1.3',","'6.3',","'111590',","'Bachelor''s degree',","'5 years or more',",'None');
11-3071.00,Business,Management occupations,Operations specialties managers,Management,1,"Transportation, storage, and distribution managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",115.5,123.3,7.7,6.7,1.1,9.7,89190,High school diploma or equivalent,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3071.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Transportation, storage, and distribution managers',","'Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.',","'115.5',","'123.3',","'7.7',","'6.7',","'1.1',","'9.7',","'89190',","'High school diploma or equivalent',","'5 years or more',",'None');
11-3111.00,Business,Management occupations,Operations specialties managers,Management,1,Compensation and benefits managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",15.8,16.6,0.8,5,0,1.2,116240,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3111.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Compensation and benefits managers',","'Plan, direct, or coordinate compensation and benefits activities of an organization.',","'15.8',","'16.6',","'0.8',","'5',","'0',","'1.2',","'116240',","'Bachelor''s degree',","'5 years or more',",'None');
11-3121.00,Business,Management occupations,Operations specialties managers,Management,1,Human resources managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",136.1,148.3,12.2,8.9,1.5,12.4,106910,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3121.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Human resources managers',","'Plan, direct, or coordinate human resources activities and staff of an organization.',","'136.1',","'148.3',","'12.2',","'8.9',","'1.5',","'12.4',","'106910',","'Bachelor''s degree',","'5 years or more',",'None');
11-3131.00,Business,Management occupations,Operations specialties managers,Management,1,Training and development managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",34.5,38.1,3.6,10.3,0,3.5,105830,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-3131.00',","'Business',","'Management occupations',","'Operations specialties managers',","'Management',","'1',","'Training and development managers',","'Plan, direct, or coordinate the training and development activities and staff of an organization.',","'34.5',","'38.1',","'3.6',","'10.3',","'0',","'3.5',","'105830',","'Bachelor''s degree',","'5 years or more',",'None');
11-9013.00,Business,Management occupations,Other management occupations,Management,1,"Farmers, ranchers, and other agricultural managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",1028.7,1097.4,68.7,6.7,72.5,84.8,66360,High school diploma or equivalent,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9013.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Farmers, ranchers, and other agricultural managers',","'Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.',","'1028.7',","'1097.4',","'68.7',","'6.7',","'72.5',","'84.8',","'66360',","'High school diploma or equivalent',","'5 years or more',",'None');
11-9021.00,Business,Management occupations,Other management occupations,Management,1,Construction managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",403.8,449.9,46.1,11.4,37.8,33.4,89300,Bachelor''s degree,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9021.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Construction managers',","'Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.',","'403.8',","'449.9',","'46.1',","'11.4',","'37.8',","'33.4',","'89300',","'Bachelor''s degree',","'None',",'Moderate-term on-the-job training');
11-9031.00,Business,Management occupations,Other management occupations,Management,1,"Education administrators, preschool and childcare center/program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.",61.8,68.3,6.5,10.6,4.6,5.4,45790,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9031.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Education administrators, preschool and childcare center/program',","'Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.',","'61.8',","'68.3',","'6.5',","'10.6',","'4.6',","'5.4',","'45790',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-9032.00,Business,Management occupations,Other management occupations,Management,1,"Education administrators, elementary and secondary school","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools.",251.3,271,19.7,7.8,0.9,21.2,92510,Master''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9032.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Education administrators, elementary and secondary school',","'Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools.',","'251.3',","'271',","'19.7',","'7.8',","'0.9',","'21.2',","'92510',","'Master''s degree',","'5 years or more',",'None');
11-9033.00,Business,Management occupations,Other management occupations,Management,1,"Education administrators, postsecondary","Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.",180.1,198.1,18,10,2.5,15.7,90760,Master''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9033.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Education administrators, postsecondary',","'Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.',","'180.1',","'198.1',","'18',","'10',","'2.5',","'15.7',","'90760',","'Master''s degree',","'Less than 5 years',",'None');
11-9039.00,Business,Management occupations,Other management occupations,Management,1,"Education administrators, all other",All education administrators not listed separately.,38.4,42.4,4,10.4,3,3.4,78210,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9039.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Education administrators, all other',","'All education administrators not listed separately.',","'38.4',","'42.4',","'4',","'10.4',","'3',","'3.4',","'78210',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-9041.00,Business,Management occupations,Other management occupations,Management,1,Architectural and engineering managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",180.1,190,9.9,5.5,0,13.6,134730,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9041.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Architectural and engineering managers',","'Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.',","'180.1',","'190',","'9.9',","'5.5',","'0',","'13.6',","'134730',","'Bachelor''s degree',","'5 years or more',",'None');
11-9051.00,Business,Management occupations,Other management occupations,Management,1,Food service managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",308.7,336,27.3,8.8,34,36.7,50820,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9051.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Food service managers',","'Plan, direct, or coordinate activities of an organization or department that serves food and beverages.',","'308.7',","'336',","'27.3',","'8.8',","'34',","'36.7',","'50820',","'High school diploma or equivalent',","'Less than 5 years',",'None');
11-9061.00,Business,Management occupations,Other management occupations,Management,1,Funeral service managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",25.7,27.4,1.6,6.4,66.6,2,73830,Associate''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9061.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Funeral service managers',","'Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.',","'25.7',","'27.4',","'1.6',","'6.4',","'66.6',","'2',","'73830',","'Associate''s degree',","'Less than 5 years',",'None');
11-9071.00,Business,Management occupations,Other management occupations,Management,1,Gaming managers,"Plan, direct, or coordinate gaming operations in a casino. May formulate house rules.",4.5,4.6,0.1,2.5,3,0.5,69180,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9071.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Gaming managers',","'Plan, direct, or coordinate gaming operations in a casino. May formulate house rules.',","'4.5',","'4.6',","'0.1',","'2.5',","'3',","'0.5',","'69180',","'High school diploma or equivalent',","'Less than 5 years',",'None');
11-9081.00,Business,Management occupations,Other management occupations,Management,1,Lodging managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",47.8,50.6,2.8,5.9,24.3,5.1,51840,High school diploma or equivalent,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9081.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Lodging managers',","'Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.',","'47.8',","'50.6',","'2.8',","'5.9',","'24.3',","'5.1',","'51840',","'High school diploma or equivalent',","'Less than 5 years',",'None');
11-9111.00,Business,Management occupations,Other management occupations,Management,1,Medical and health services managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",352.2,422,69.8,19.8,2.6,36.4,96540,Bachelor''s degree,Less than 5 years,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9111.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Medical and health services managers',","'Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.',","'352.2',","'422',","'69.8',","'19.8',","'2.6',","'36.4',","'96540',","'Bachelor''s degree',","'Less than 5 years',",'None');
11-9121.00,Business,Management occupations,Other management occupations,Management,1,Natural sciences managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",56.7,62.3,5.6,9.9,0,5.2,119850,Bachelor''s degree,5 years or more,None,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9121.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Natural sciences managers',","'Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.',","'56.7',","'62.3',","'5.6',","'9.9',","'0',","'5.2',","'119850',","'Bachelor''s degree',","'5 years or more',",'None');
11-9131.00,Business,Management occupations,Other management occupations,Management,1,Postmasters and mail superintendents,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",14.2,11.2,-3,-20.9,0,0.6,71670,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'11-9131.00',","'Business',","'Management occupations',","'Other management occupations',","'Management',","'1',","'Postmasters and mail superintendents',","'Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.',","'14.2',","'11.2',","'-3',","'-20.9',","'0',","'0.6',","'71670',","'High school diploma or equivalent',","'Less than 5 years',",'Moderate-term on-the-job training');
